Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Calisthenics duration (ms),Hiking duration (ms),Sleep duration (ms)
2018-05-13,1300.5323847316336,4782.743834495544,22.250778198242188,84.89957427978516,22.260650634765625,84.91236877441406,0.8370717790048464,3.221120595932007,0.11124082654714584,7936,,,,,78987150,6804168,,,
2018-05-14,1406.694388094562,10439.883287489414,22.22348976135254,84.8662338256836,22.259492874145508,84.91202545166016,0.7778683630931854,3.514659881591797,0.2538740932941437,16414,,,,,74047349,10878709,,,
2018-05-15,1399.127694833425,8019.276877403259,22.22325325012207,84.86222076416016,22.256244659423828,84.91156005859375,0.84533610820878,2.019432783126831,0.04798251762986183,12350,,,,,73161841,10544313,,,
2018-05-16,1479.6804430231068,20147.006299734116,22.223102569580078,84.84546661376953,22.255828857421875,84.91254425048828,1.070308884168706,33.507442474365234,0.08044678717851639,7486,,,,3249797,72495222,6959760,,,
2018-05-17,1571.4853447898145,22260.564082741737,22.22054672241211,84.81571960449219,22.273656845092773,84.91262817382812,1.0400748256579475,12.609999656677246,0.028880834579467773,18712,,,,1637644,68206383,14196987,,,
2018-05-18,1341.6196080742611,14621.87811177969,22.22325325012207,84.86174011230469,22.25589370727539,84.90995788574219,1.3126301517727215,24.779733657836914,0.0,6865,,,,2541982,75723533,5193545,,,
2018-05-19,1248.7956930239993,4019.8165640830994,22.22324562072754,84.8665771484375,22.255783081054688,84.91065979003906,0.8560927316329718,1.6341845989227295,0.24075670540332794,7089,,,,,77543235,4818496,,,
2018-05-20,1384.760360026095,11273.602362632751,17.712440490722656,83.30110168457031,22.255910873413086,84.90592956542969,0.9926167276547353,10.812365531921387,0.04968477785587311,3603,,,,1989054,78944472,5117716,,,
2018-05-21,1381.7741760957822,8450.152996081859,22.251386642456055,84.9008560180664,22.25619888305664,84.91194152832031,0.976684588302161,3.2274909019470215,0.23458097875118256,13754,,,,,76004530,9922261,,,
2018-05-22,1227.4056027854167,3223.1969923973083,22.251968383789062,84.89971923828125,22.256710052490234,84.91248321533203,0.6022438481005051,2.377833843231201,0.2710352838039398,6322,,,,,79075010,3997534,,,
2018-05-23,1496.0439155217578,17685.245008111,22.22551918029785,84.86143493652344,22.260835647583008,84.9123764038086,1.2690667417287251,31.523544311523438,0.05842995271086693,13277,,,,1142097,73169106,10350568,,,
2018-05-24,1392.5076637195436,7353.802487641573,22.251705169677734,84.9003677368164,22.25619888305664,84.91353607177734,0.7717429975268862,3.549626350402832,0.05379278585314751,12628,,,,,74364651,10334215,,,
2018-05-25,1319.4262911818553,7730.462015509605,22.24925994873047,84.89727020263672,22.25619888305664,84.90571594238281,1.0120864030690944,1.9688643217086792,0.20100055634975433,12240,,,,,77530516,7529327,,,
2018-05-26,1468.407632888675,14679.487023323774,22.22391128540039,84.8614273071289,22.586658477783203,88.37673950195312,0.8930939877043621,7.326887607574463,0.11308553069829941,16608,38.099998474121094,38.099998474121094,38.099998474121094,925612,41789591,11166773,,,
2018-05-27,1374.2529783001435,8558.999213218689,22.5257625579834,88.36097717285156,22.578092575073242,88.39619445800781,0.8629935555591149,10.944120407104492,0.040347278118133545,5350,,,,743187,71278664,7878987,,,
2018-05-28,1340.7908497223227,3500.0546414852142,22.553356170654297,88.37569427490234,22.57366943359375,88.39631652832031,0.773940292570037,8.609999656677246,0.10465873032808304,4503,,,,,71937182,7624596,,,
2018-05-29,1426.1667838112546,9962.707306288183,22.22381019592285,84.86103057861328,22.623504638671875,88.39469909667969,5.800951901724477,33.040000915527344,0.005164327099919319,6378,,,,659817,49651782,8808908,,,
2018-05-30,1621.3668058942922,26379.00061893463,22.22345733642578,84.84825897216797,22.256196975708008,84.9113998413086,1.2077439656990834,29.35220718383789,0.07982183247804642,18064,,,,2366330,70889521,12400086,,,
2018-05-31,1327.6080355031772,6869.7179396003485,22.25177001953125,84.90059661865234,22.256196975708008,84.91191101074219,0.9163113691350339,6.639999866485596,0.0,10680,,,,,78586401,7137944,,,
2018-06-01,1508.6693919302395,10942.993708096445,22.249509811401367,84.9003677368164,22.256196975708008,84.91195678710938,0.6952561577850526,4.579837322235107,0.020667951554059982,17261,,,,727705,71150940,13037379,,,
2018-06-02,1276.8670265377998,5544.205615401268,22.25050926208496,84.90007781982422,22.256248474121094,84.91383361816406,0.8044716708758888,4.214502811431885,0.0,7620,,,,,79809302,5125684,,,
2018-06-03,1207.441919673105,2167.9431108236313,22.252103805541992,84.9003677368164,22.256072998046875,84.90589141845703,0.5244674243368023,3.5328369140625,0.253402441740036,3836,,,,,82961533,2701932,,,
2018-06-04,1459.9118564354183,8786.718533925401,22.22803497314453,84.86107635498047,24.91633415222168,92.9798355102539,5.774827374548221,30.824434280395508,0.03189384192228317,6739,,,,3070715,42140899,8134456,,,
2018-06-05,1298.2077104601633,3941.383789249075,22.55430793762207,88.28263092041016,24.916147232055664,92.97972106933594,0.6789860029368928,8.100000381469727,0.10994639247655869,5166,,,,1211092,58078829,4746884,,,
2018-06-06,1278.482370345033,7363.19027852267,22.223302841186523,84.86339569091797,22.772445678710938,86.56926727294922,2.3496492178523627,30.209999084472656,0.0,3809,,,,627754,67298777,3031222,,,
